Year,Name,Position,College,Rating
2021,Austin Pronk,OT,Davidson Wildcats,NA
2021,Braxton Barber,TE,Davidson Wildcats,NA
2021,Garrett Crockett,DL,Davidson Wildcats,NA
2021,Julian Rawlins,Edge,Davidson Wildcats,NA
2021,Daniel Carter,S,Davidson Wildcats,NA
2022,Marcus Heard,S,Davidson Wildcats,NA
2023,Zion Wells,ATH,Davidson Wildcats,NA
2009,Kyle Sebetic,CB,Dayton Flyers,NA
2011,Anthony Davis,RB,Dayton Flyers,NA
2012,Nate Sudnick,ILB,Dayton Flyers,NA
2015,Adam Trautman,TE,Dayton Flyers,NA
2016,Michael Niese,OG,Dayton Flyers,NA
2017,Nick Bell,OLB,Dayton Flyers,NA
2017,Jake Brunson,OG,Dayton Flyers,0.7594
2017,James Ellis,TE,Dayton Flyers,0.7483
2019,Shane Cokes,WDE,Dayton Flyers,NA
2019,Brian Stevens,IOL,Dayton Flyers,NA
2021,Logan Foody,S,Dayton Flyers,NA
2021,Zach Poff,WR,Dayton Flyers,NA
2022,A.K. Agee,WR,Dayton Flyers,NA
2022,Spencer McKelligon,LB,Dayton Flyers,NA
2023,Rashaad Glenn,LB,Dayton Flyers,NA
2023,Ricky Wolverton,IOL,Dayton Flyers,NA
2023,Noah Dudik,WR,Dayton Flyers,NA
2023,Evan Fleetwood,IOL,Dayton Flyers,NA
2023,Stan Heuler III,TE,Dayton Flyers,NA
2023,Drew VanVleet,QB,Dayton Flyers,NA
2023,Gavin Lochow,WR,Dayton Flyers,NA
2023,Joel Allen,DL,Dayton Flyers,NA
2023,Desmond Owens,S,Dayton Flyers,NA
2023,Dan Calicari,S,Dayton Flyers,NA
2023,Will Holt,K,Dayton Flyers,NA
2023,James Kwiecinski,RB,Dayton Flyers,NA
2023,Ben Lavelle,P,Dayton Flyers,NA
2023,Ben Meehan,OT,Dayton Flyers,NA
2023,Reece Richardson,CB,Dayton Flyers,NA
2023,Sam Schmiesing,LB,Dayton Flyers,NA
2023,Tehron Spencer Jr.,CB,Dayton Flyers,NA
2009,Paul Worrilow,ILB,Delaware Fightin' Blue Hens,NA
2011,Nick Boyle,TE,Delaware Fightin' Blue Hens,NA
