Year,College Name,Total Points Per Game,Total Points,Total Touchdowns,1st Downs,Total 1st downs,Rushing 1st downs,Passing 1st downs,1st downs by penalty,3rd down efficiency,3rd down %,4th down efficiency,4th down %,Passing,Comp-Att,Net Passing Yards,Yards Per Pass Attempt,Net Passing Yards Per Game,Passing Touchdowns,Interceptions,Sacks-Yards Lost,Rushing,Rushing Attempts,Rushing Yards,Yards Per Rush Attempt,Rushing Yards Per Game,Rushing Touchdowns,Offense,Total Offensive Plays,Total Yards,Yards Per Game,Returns,Kickoffs: Total,Average Kickoff Return Yards,Punt: Total,Average Punt Return Yards,INT: Total,Average Interception Yards,Kicking,Net Average Punt Yards,Punt: Total Yards,FG: Good-Attempts,Touchback Percentage,Penalties,Total-Yards,Avg. Per Game (YDS),Time of Possession,Possession Time Seconds,Miscellaneous,Fumbles-Lost,Turnover Ratio
2024,Miami (OH) RedHawks,25.6,359,40,,214,97,95,22,60-167,35.93,4-13,30.77,,165-293,"2,316",7.9,165.4,16,7,25--149,,503,"2,213",4.4,158.1,23,,821,"4,529",323.5,,26-522,20.1,24-299,12.3,11-130,11.8,,42.4,"58-2,566",27-28,72,,66-547,39,,29:49,,18-9,2
2024,Michigan Wolverines,35.9,538,69,,297,121,160,16,74-173,42.78,17-22,77.27,,260-361,"3,205",8.9,213.7,24,5,20--155,,563,"2,536",4.5,169.1,40,,944,"5,741",382.7,,18-251,13.9,30-316,10.5,18-419,23.3,,40.2,"53-2,296",18-21,69,,45-412,27,,32:13,,12-3,19
2024,Michigan State Spartans,15.9,191,22,,199,74,103,22,50-162,30.86,10-20,50.00,,221-379,"2,398",6.3,199.8,14,13,25--195,,370,"1,074",2.9,89.5,7,,774,"3,472",289.3,,17-302,17.8,13-89,6.8,9-22,2.4,,41.7,"70-3,177",13-18,67,,82-713,59,,28:05,,13-9,-6
2024,Middle Tennessee Blue Raiders,24.3,291,37,,232,82,126,24,72-182,39.56,10-22,45.46,,295-438,"3,192",7.3,266.0,23,13,32--169,,384,"1,501",3.9,125.1,13,,854,"4,693",391.1,,14-260,18.6,11-120,10.9,8-96,12.0,,38.6,"67-2,893",10-14,36,,81-675,56,,28:32,,13-8,-5
2024,Minnesota Golden Gophers,20.9,272,29,,237,123,90,24,62-176,35.23,14-17,82.35,,164-312,"1,864",6.0,143.4,16,11,21--126,,505,"2,048",4.1,157.5,13,,838,"3,912",300.9,,25-362,14.5,9-111,13.5,12-114,9.5,,40.4,"65-2,762",23-27,85,,39-352,27,,31:52,,9-6,2
2024,Mississippi State Bulldogs,21.8,262,30,,199,79,106,14,49-159,30.82,10-24,41.67,,201-348,"2,182",6.3,181.8,15,10,26--158,,401,"1,761",4.4,146.8,12,,775,"3,943",328.6,,23-550,23.9,17-200,11.8,7-121,17.3,,38.9,"58-2,319",17-23,61,,75-682,56,,28:40,,9-4,-2
2024,Mississippi Valley State Delta Devils,12.0,132,17,,159,68,74,17,41-157,26.12,10-21,47.62,,,,,,,,,,,,,,,,,,,,51-943,18.5,11-95,8.6,6-45,7.5,,35.2,"75-2,639",5-8,13,,77-647,58,,31:08,,0,12
2024,Missouri Tigers,32.5,423,50,,281,122,139,20,72-170,42.35,11-15,73.33,,248-378,"3,410",9.0,262.3,23,7,26--160,,496,"2,246",4.5,172.8,25,,900,"5,656",435.1,,20-383,19.2,9-71,7.9,9-47,5.2,,39.4,"50-2,048",24-30,56,,93-709,54,,30:25,,9-2,10
2024,Missouri State Bears,29.8,328,43,,222,62,147,13,59-135,43.70,15-20,75.00,,,,,,,,,,,,,,,,,,,,24-435,18.1,11-116,10.5,10-54,5.4,,42.9,"37-1,589",9-10,41,,66-627,57,,28:03,,0,14
2024,Monmouth Hawks,32.5,357,50,,226,87,122,17,51-146,34.93,23-43,53.49,,,,,,,,,,,,,,,,,,,,31-575,18.5,7-37,5.3,8-35,4.4,,40.5,"40-1,619",4-4,13,,63-509,46,,31:01,,0,16
