Year,College Name,Total Points Per Game,Total Points,Total Touchdowns,1st Downs,Total 1st downs,Rushing 1st downs,Passing 1st downs,1st downs by penalty,3rd down efficiency,3rd down %,4th down efficiency,4th down %,Passing,Comp-Att,Net Passing Yards,Yards Per Pass Attempt,Net Passing Yards Per Game,Passing Touchdowns,Interceptions,Sacks-Yards Lost,Rushing,Rushing Attempts,Rushing Yards,Yards Per Rush Attempt,Rushing Yards Per Game,Rushing Touchdowns,Offense,Total Offensive Plays,Total Yards,Yards Per Game,Returns,Kickoffs: Total,Average Kickoff Return Yards,Punt: Total,Average Punt Return Yards,INT: Total,Average Interception Yards,Kicking,Net Average Punt Yards,Punt: Total Yards,FG: Good-Attempts,Touchback Percentage,Penalties,Total-Yards,Avg. Per Game (YDS),Time of Possession,Possession Time Seconds,Miscellaneous,Fumbles-Lost,Turnover Ratio
2024,North Carolina Central Eagles,35.8,429,58,,234,112,101,21,66-149,44.30,11-14,78.57,,,,,,,,,,,,,,,,,,,,36-552,15.3,15-271,18.6,7-106,15.1,,38.3,"52-1,991",10-10,9,,62-586,48,,31:55,,0,12
2024,North Dakota Fighting Hawks,31.7,380,53,,247,115,113,19,61-131,46.57,13-21,61.91,,,,,,,,,,,,,,,,,,,,29-807,27.8,4-21,5.3,7-128,18.3,,40.1,"37-1,485",4-5,36,,43-384,32,,30:37,,0,13
2024,North Dakota State Bison,38.1,572,74,,321,165,135,21,86-176,48.86,16-25,64.00,,,,,,,,,,,,,,,,,,,,23-401,17.4,17-237,10.9,21-344,16.4,,42.0,"34-1,427",19-19,32,,93-787,52,,33:08,,0,27
2024,North Texas Mean Green,34.5,414,52,,296,126,157,13,73-174,41.95,21-35,60.00,,284-462,"3,656",7.9,304.7,33,9,38--249,,449,"2,294",5.1,191.2,19,,949,"5,950",495.8,,37-720,19.5,11-50,4.5,10-50,5.0,,40.7,"39-1,648",16-19,91,,57-559,46,,29:12,,21-10,-5
2024,Northern Arizona Lumberjacks,27.5,303,42,,214,92,105,17,62-151,41.06,16-27,59.26,,,,,,,,,,,,,,,,,,,,24-523,21.8,11-160,14.5,11-162,14.7,,41.2,"46-1,895",3-3,51,,86-739,67,,30:16,,0,15
2024,Northern Colorado Bears,14.0,154,18,,175,71,85,19,56-163,34.36,9-18,50.00,,,,,,,,,,,,,,,,,,,,16-342,21.4,11-65,5.9,12-49,4.1,,43.6,"68-2,968",9-9,95,,52-486,44,,28:11,,0,15
2024,Northern Illinois Huskies,25.1,326,41,,244,106,114,24,73-175,41.71,10-20,50.00,,211-366,"2,467",6.7,189.8,15,9,16--94,,467,"2,335",5.0,179.6,23,,849,"4,802",369.4,,26-413,15.9,12-104,8.7,10-92,9.2,,38.9,"52-2,110",13-22,21,,58-517,39,,31:32,,15-9,-3
2024,Northern Iowa Panthers,26.1,287,33,,235,74,139,22,57-132,43.18,4-8,50.00,,,,,,,,,,,,,,,,,,,,25-470,18.8,8-28,3.5,9-31,3.4,,42.6,"36-1,493",19-19,41,,66-603,54,,29:58,,0,16
2024,Northwestern Wildcats,22.1,287,35,,218,84,114,20,77-192,40.10,3-14,21.43,,241-389,"2,626",6.8,202.0,20,8,51--294,,458,"1,325",2.9,101.9,14,,898,"3,951",303.9,,27-584,21.6,11-70,6.4,13-101,7.8,,37.2,"75-2,874",14-19,18,,69-554,42,,28:37,,13-1,13
2024,Northwestern State Demons,14.0,84,9,,99,43,47,9,29-97,29.90,7-19,36.84,,,,,,,,,,,,,,,,,,,,19-322,16.9,4-18,4.5,4-0,0.0,,33.0,"35-1,154",7-7,32,,27-245,40,,30:24,,0,10
2024,Notre Dame Fighting Irish,38.7,503,65,,273,119,142,12,66-146,45.21,10-17,58.82,,227-351,"3,205",9.1,246.5,31,9,16--126,,457,"2,414",5.3,185.7,28,,824,"5,619",432.2,,21-552,26.3,15-168,11.2,16-252,15.8,,38.0,"39-1,756",15-22,66,,69-623,47,,30:34,,13-8,7
2024,Ohio Bobcats,24.3,316,37,,271,114,126,31,84-184,45.65,8-16,50.00,,239-383,"2,647",6.9,203.6,16,9,16--100,,485,"1,877",3.9,144.4,18,,884,"4,524",348.0,,15-273,18.2,15-41,2.7,15-137,9.1,,35.5,"48-1,936",19-28,19,,73-673,51,,33:24,,8-4,9
2024,Ohio State Buckeyes,30.5,397,50,,270,91,159,20,72-168,42.86,10-18,55.56,,255-400,"3,498",8.7,269.1,26,7,23--140,,431,"1,805",4.2,138.8,20,,854,"5,303",407.9,,13-259,19.9,17-75,4.4,7-230,32.9,,40.4,"50-2,174",16-20,59,,74-579,44,,29:25,,10-6,-2
2024,Oklahoma Sooners,41.7,542,71,,332,130,174,28,87-178,48.88,13-19,68.42,,310-453,"4,223",9.3,324.8,34,9,20--122,,521,"2,368",4.5,182.2,32,,994,"6,591",507.0,,21-442,21.0,22-137,6.2,20-344,17.2,,39.6,"43-1,818",15-21,53,,88-755,58,,29:03,,19-11,6
2024,Oklahoma State Cowboys,29.6,414,48,,303,98,186,19,80-209,38.28,11-20,55.00,,344-570,"3,871",6.8,276.5,18,16,13--91,,449,"2,174",4.8,155.3,29,,1032,"6,045",431.8,,33-651,19.7,12-42,3.5,13-194,14.9,,40.0,"66-2,750",27-34,51,,70-578,41,,29:56,,14-5,2
2024,Old Dominion Monarchs,23.8,310,38,,215,102,95,18,69-187,36.90,7-26,26.92,,204-361,"2,532",7.0,194.8,20,11,62--366,,474,"1,996",4.2,153.5,15,,897,"4,528",348.3,,30-503,16.8,19-137,7.2,11-275,25.0,,35.5,"67-2,662",14-21,37,,84-794,61,,24:49,,15-7,3
2024,Ole Miss Rebels,35.1,456,57,,305,133,154,18,65-176,36.93,25-36,69.44,,256-394,"3,713",9.4,285.6,26,6,27--177,,535,"2,294",4.3,176.5,29,,956,"6,007",462.1,,20-310,15.5,14-117,8.4,13-145,11.2,,38.1,"49-2,038",19-23,82,,94-768,59,,27:44,,11-1,11
2024,Oregon Ducks,44.2,619,83,,369,139,210,20,79-155,50.97,19-25,76.00,,397-514,"4,857",9.4,346.9,49,5,5--31,,437,"2,583",5.9,184.5,33,,956,"7,440",531.4,,20-308,15.4,21-201,9.6,12-58,4.8,,42.7,"32-1,483",12-18,68,,93-848,60,,31:02,,9-2,11
2024,Oregon State Beavers,31.8,414,54,,278,122,143,13,57-148,38.51,17-30,56.67,,222-380,"3,148",8.3,242.2,26,8,19--119,,445,"2,172",4.9,167.1,26,,844,"5,320",409.2,,28-518,18.5,13-234,18.0,12-153,12.8,,37.3,"39-1,597",13-14,58,,73-655,50,,30:43,,13-5,6
2024,Penn State Nittany Lions,36.2,471,59,,292,136,134,22,75-185,40.54,20-26,76.92,,246-413,"2,795",6.8,215.0,30,2,16--124,,515,"2,407",4.7,185.2,26,,944,"5,202",400.2,,16-372,23.3,29-336,11.6,12-177,14.8,,42.8,"52-2,357",19-26,66,,65-563,43,,32:31,,13-6,16
2024,Pennsylvania Quakers,26.2,262,30,,217,69,134,14,61-142,42.96,10-15,66.67,,,,,,,,,,,,,,,,,,,,19-373,19.6,18-85,4.8,8-48,6.0,,38.2,"37-1,414",17-18,28,,45-391,39,,30:47,,0,9
2024,Pittsburgh Panthers,20.2,242,30,,195,73,101,21,47-150,31.33,10-20,50.00,,192-360,"2,592",7.2,216.0,17,12,23--205,,356,"1,223",3.4,101.9,10,,739,"3,815",317.9,,23-419,18.2,23-108,4.7,10-141,14.1,,36.1,"62-2,623",11-16,71,,94-773,64,,27:37,,15-9,-5
2024,Portland State Vikings,35.4,389,53,,223,114,87,22,67-141,47.52,7-14,50.00,,,,,,,,,,,,,,,,,,,,24-500,20.8,8-143,6.0,9-87,9.7,,40.6,"40-1,723",8-8,69,,69-655,59,,31:49,,0,12
2024,Prairie View A&M Panthers,19.5,234,29,,203,105,82,16,53-150,35.33,4-14,28.57,,,,,,,,,,,,,,,,,,,,39-656,16.8,17-129,7.6,8-98,12.3,,38.8,"59-2,290",11-12,2,,79-696,58,,30:04,,0,13
2024,Presbyterian Blue Hose,21.8,240,27,,184,68,89,27,46-144,31.94,8-16,50.00,,,,,,,,,,,,,,,,,,,,29-456,15.7,16-44,2.8,8-58,7.3,,33.5,"53-1,774",16-16,15,,75-683,62,,27:43,,0,16
2024,Princeton Tigers,19.7,197,27,,164,66,91,7,50-153,32.68,11-24,45.83,,,,,,,,,,,,,,,,,,,,10-178,17.8,15-95,6.3,10-95,9.5,,38.3,"68-2,605",3-4,44,,57-493,49,,29:29,,0,20
2024,Purdue Boilermakers,24.1,289,38,,245,107,117,21,63-176,35.80,11-28,39.29,,234-392,"2,534",6.5,211.2,15,10,24--178,,462,"2,025",4.4,168.8,20,,878,"4,559",379.9,,21-509,24.2,20-159,8.0,10-79,7.9,,36.7,"63-2,529",8-17,32,,72-691,57,,30:25,,21-8,0
2024,Rhode Island Rams,28.9,318,42,,230,84,125,21,69-158,43.67,9-15,60.00,,,,,,,,,,,,,,,,,,,,33-649,19.7,23-182,7.9,9-24,2.7,,38.3,"50-1,914",9-9,21,,70-634,57,,29:10,,0,11
2024,Rice Owls,29.5,384,51,,247,83,141,23,60-158,37.98,16-24,66.67,,268-431,"3,282",7.6,252.5,29,16,29--201,,387,"1,436",3.7,110.5,21,,847,"4,718",362.9,,26-548,21.1,20-223,11.2,5-98,19.6,,35.9,"54-2,123",8-12,52,,74-628,48,,31:01,,14-9,-13
2024,Richmond Spiders,28.6,372,49,,250,95,127,28,47-158,29.75,11-16,68.75,,,,,,,,,,,,,,,,,,,,36-700,19.4,14-182,13.0,16-276,17.3,,40.8,"64-2,608",11-12,14,,63-634,48,,30:36,,0,26
2024,Robert Morris Colonials,25.8,284,30,,188,59,105,24,53-156,33.97,12-25,48.00,,,,,,,,,,,,,,,,,,,,37-863,23.3,17-88,5.2,7-80,11.4,,39.6,"54-2,141",5-5,22,,76-577,52,,31:01,,0,17
2024,Rutgers Scarlet Knights,23.4,304,37,,227,126,84,17,62-169,36.69,16-25,64.00,,142-294,"1,788",6.1,137.5,10,8,14--86,,517,"2,193",4.2,168.7,24,,825,"3,981",306.2,,5-165,33.0,7-44,7.0,9-52,5.8,,38.8,"57-2,258",15-19,65,,66-587,45,,31:49,,10-5,5
2024,SE Louisiana Lions,25.3,278,36,,217,92,109,16,57-150,38.00,13-25,52.00,,,,,,,,,,,,,,,,,,,,33-686,20.8,17-237,13.9,12-81,6.8,,41.6,"44-1,831",10-10,47,,71-576,52,,30:33,,0,16
2024,SMU Mustangs,38.3,536,68,,329,134,165,30,84-196,42.86,17-28,60.71,,274-465,"3,897",8.4,278.4,33,8,16--100,,555,"2,472",4.5,176.6,29,,1036,"6,369",454.9,,24-449,18.7,27-265,9.8,12-172,14.3,,35.8,"47-1,971",20-27,52,,64-563,40,,30:06,,15-6,3
2024,Sacramento State Hornets,30.7,399,51,,296,135,144,17,86-179,48.05,14-26,53.85,,,,,,,,,,,,,,,,,,,,27-564,20.9,18-127,7.1,14-73,5.2,,43.4,"45-1,951",14-14,27,,68-592,45,,28:56,,0,18
2024,Sacred Heart Pioneers,13.1,144,15,,183,95,72,16,45-162,27.78,13-22,59.09,,,,,,,,,,,,,,,,,,,,34-694,20.4,13-39,3.0,10-60,6.0,,38.0,"73-2,773",14-14,3,,58-508,46,,29:31,,0,15
2024,Sam Houston Bearkats,20.0,240,30,,218,69,126,23,65-183,35.52,13-22,59.09,,282-448,"2,671",6.0,222.6,15,12,19--132,,368,"1,066",2.9,88.8,13,,835,"3,737",311.4,,25-440,17.6,21-144,6.9,13-217,16.7,,37.7,"77-3,164",11-14,29,,61-506,42,,29:41,,13-4,4
2024,Samford Bulldogs,29.0,319,43,,259,97,144,18,68-160,42.50,11-21,52.38,,,,,,,,,,,,,,,,,,,,23-517,22.5,19-179,9.4,7-44,6.3,,35.0,"49-1,717",7-7,18,,61-608,55,,27:29,,0,14
2024,San Diego Toreros,23.0,253,32,,187,85,89,13,55-150,36.67,7-20,35.00,,,,,,,,,,,,,,,,,,,,33-699,21.2,13-79,6.1,15-269,17.9,,40.0,"53-2,118",11-12,25,,99-860,78,,33:25,,0,24
2024,San Diego State Aztecs,20.5,246,27,,206,97,97,12,61-174,35.06,13-23,56.52,,202-319,"2,061",6.5,171.8,10,10,24--144,,454,"1,851",4.1,154.3,16,,797,"3,912",326.0,,29-589,20.3,21-185,8.8,12-206,17.2,,42.6,"54-2,449",19-26,33,,59-528,44,,32:47,,11-7,1
2024,San José State Spartans,31.8,414,55,,269,119,125,25,68-153,44.44,7-19,36.84,,230-376,"2,853",7.6,219.5,21,4,20--132,,429,"2,393",5.6,184.1,31,,825,"5,246",403.5,,18-283,15.7,10-182,18.2,12-230,19.2,,37.0,"45-1,879",10-15,21,,74-638,49,,30:35,,17-6,11
2024,South Alabama Jaguars,33.0,429,56,,294,124,154,16,75-174,43.10,17-27,62.96,,291-428,"3,486",8.1,268.2,28,11,31--194,,469,"2,240",4.8,172.3,28,,928,"5,726",440.5,,18-312,17.3,24-252,10.8,13-70,5.4,,39.5,"42-1,689",14-21,45,,87-750,57,,30:33,,18-9,2
2024,South Carolina Gamecocks,26.0,312,40,,217,62,139,16,54-161,33.54,9-24,37.50,,283-412,"3,336",8.1,278.0,21,8,41--298,,369,"1,021",2.8,85.1,17,,822,"4,357",363.1,,20-352,17.6,14-112,8.0,10-129,12.9,,41.2,"62-2,676",12-14,65,,86-666,55,,28:17,,14-5,4
2024,South Carolina State Bulldogs,24.9,274,37,,191,113,64,14,47-125,37.60,6-15,40.00,,,,,,,,,,,,,,,,,,,,21-359,17.1,21-147,6.2,9-33,3.7,,37.7,"52-1,961",6-6,7,,51-483,43,,29:56,,0,16
2024,South Dakota Coyotes,31.2,405,39,,228,97,113,18,57-131,43.51,6-10,60.00,,,,,,,,,,,,,,,,,,,,20-330,16.5,8-51,6.4,9-46,5.1,,41.8,"47-1,964",13-13,25,,75-595,45,,29:15,,0,15
2024,South Dakota State Jackrabbits,37.3,560,73,,328,169,147,12,84-157,53.50,9-11,81.82,,,,,,,,,,,,,,,,,,,,19-446,23.5,28-486,17.9,19-214,11.3,,41.5,"35-1,453",18-18,38,,97-915,61,,31:34,,0,29
2024,South Florida Bulls,31.8,413,54,,300,138,134,28,78-208,37.50,20-46,43.48,,287-447,"3,494",7.8,268.8,27,11,43--257,,580,"2,377",4.1,182.8,23,,1070,"5,871",451.6,,21-414,19.7,19-105,5.5,14-175,12.5,,39.3,"56-2,292",11-16,32,,97-852,65,,28:35,,17-10,3
2024,Southeast Missouri State Redhawks,26.7,294,37,,220,81,111,28,64-158,40.51,5-16,31.25,,,,,,,,,,,,,,,,,,,,33-609,18.5,18-200,11.1,13-215,16.5,,40.0,"61-2,441",11-11,16,,73-767,69,,30:52,,0,17
2024,Southern Jaguars,25.0,275,37,,179,65,98,16,44-136,32.35,11-27,40.74,,,,,,,,,,,,,,,,,,,,33-518,15.7,14-143,8.5,7-77,11.0,,41.2,"51-2,153",7-7,48,,92-856,77,,26:37,,0,21
2024,Southern Illinois Salukis,25.5,332,44,,234,78,132,24,59-169,34.91,21-33,63.64,,,,,,,,,,,,,,,,,,,,27-491,18.2,20-71,3.6,12-89,7.4,,40.1,"57-2,283",9-9,8,,84-671,51,,29:01,,0,25
2024,Southern Miss Golden Eagles,23.2,278,33,,242,112,100,30,72-188,38.30,10-24,41.67,,188-363,"2,288",6.3,190.7,15,8,34--250,,485,"1,961",4.0,163.4,16,,882,"4,249",354.1,,39-879,22.5,16-167,10.4,9-41,4.6,,36.5,"61-2,422",17-24,23,,75-578,48,,33:15,,17-8,1
2024,Southern Utah Thunderbirds,33.5,368,51,,228,76,128,24,73-159,45.91,9-16,56.25,,,,,,,,,,,,,,,,,,,,24-397,16.5,19-130,5.9,14-177,12.6,,35.6,"52-1,978",6-6,59,,71-668,60,,32:12,,0,19
2024,St. Francis (PA) Red Flash,27.4,274,37,,187,97,78,12,47-118,39.83,9-15,60.00,,,,,,,,,,,,,,,,,,,,31-548,17.7,13-230,17.7,6-35,5.8,,39.3,"42-1,650",5-5,18,,64-528,52,,29:49,,0,10
2024,St. Thomas-Minnesota Tommies,24.3,267,37,,176,87,72,17,56-147,38.10,11-22,50.00,,,,,,,,,,,,,,,,,,,,22-362,16.5,19-161,8.1,8-81,10.1,,39.2,"51-2,001",3-3,18,,62-551,50,,30:08,,0,13
2024,Stanford Cardinal,20.8,249,26,,234,82,119,33,65-182,35.71,9-27,33.33,,233-425,"2,796",6.6,233.0,11,10,41--234,,414,"1,427",3.4,118.9,15,,880,"4,223",351.9,,18-276,15.3,7-48,6.9,8-49,6.1,,37.4,"54-2,250",23-26,82,,75-709,59,,31:16,,17-4,-3
2024,Stephen F. Austin Lumberjacks,29.1,320,38,,237,87,126,24,62-171,36.26,25-43,58.14,,,,,,,,,,,,,,,,,,,,31-527,17.0,8-31,3.9,9-43,4.8,,43.6,"36-1,568",17-17,24,,73-608,55,,29:35,,0,18
2024,Stetson Hatters,23.3,256,32,,204,59,117,28,55-150,36.67,8-21,38.10,,,,,,,,,,,,,,,,,,,,41-778,19.0,6-10,2.4,12-71,5.9,,30.2,"45-1,553",11-14,6,,52-413,37,,27:32,,0,21
2024,Stonehill Skyhawks,23.1,231,29,,188,85,76,27,59-156,37.82,4-14,28.57,,,,,,,,,,,,,,,,,,,,45-783,17.4,10-46,4.6,7-9,1.3,,34.6,"59-2,039",10-13,26,,64-627,62,,30:17,,0,15
2024,Stony Brook Seawolves,15.2,152,19,,157,52,93,12,44-133,33.08,3-11,27.27,,,,,,,,,,,,,,,,,,,,49-841,17.2,3-25,8.3,8-165,20.6,,39.2,"57-2,232",7-11,31,,75-605,60,,29:27,,0,12
2024,Syracuse Orange,23.5,305,40,,232,115,94,23,70-179,39.11,10-20,50.00,,192-316,"2,223",7.0,171.0,17,15,30--167,,529,"2,240",4.2,172.3,20,,875,"4,463",343.3,,20-381,19.1,27-272,10.1,9-183,20.3,,38.7,"63-2,820",10-16,89,,95-801,61,,28:16,,23-9,-2
2024,TCU Horned Frogs,31.3,376,48,,300,108,180,12,82-177,46.33,16-32,50.00,,319-503,"3,746",7.4,312.2,27,15,19--104,,406,"1,854",4.6,154.5,19,,928,"5,600",466.7,,32-675,21.1,13-152,10.3,8-129,16.1,,37.9,"38-1,561",14-21,66,,74-643,53,,27:21,,11-4,-7
2024,Tarleton State Texans,33.3,366,47,,241,113,109,19,58-145,40.00,8-14,57.14,,,,,,,,,,,,,,,,,,,,19-463,24.4,5-90,18.0,7-170,24.3,,40.2,"45-1,808",13-13,19,,71-666,60,,27:48,,0,18
2024,Temple Owls,21.1,253,33,,247,63,155,29,66-173,38.15,23-45,51.11,,283-508,"3,320",6.5,276.7,23,16,18--139,,331,"1,155",3.5,96.3,9,,857,"4,475",372.9,,39-688,17.6,14-76,4.0,3-2,0.7,,36.3,"44-1,720",7-12,40,,54-441,36,,28:21,,13-9,-20
2024,Tennessee Volunteers,31.8,413,51,,284,140,134,10,73-175,41.71,7-18,38.89,,262-410,"3,162",7.7,243.2,22,5,24--146,,489,"2,663",5.4,204.8,23,,923,"5,825",448.1,,15-293,19.5,22-251,11.4,12-239,19.9,,41.3,"55-2,337",19-24,72,,101-883,67,,24:56,,16-7,6
2024,Tennessee State Tigers,22.7,250,31,,189,83,86,20,55-159,34.59,4-9,44.44,,,,,,,,,,,,,,,,,,,,20-433,21.7,14-108,7.5,7-36,5.1,,37.3,"75-2,863",12-13,28,,75-655,59,,28:27,,0,10
2024,Tennessee Tech Golden Eagles,17.2,189,24,,196,82,90,24,61-180,33.89,14-35,40.00,,,,,,,,,,,,,,,,,,,,9-107,11.9,20-73,3.7,12-258,21.5,,40.2,"63-2,534",7-8,28,,73-576,52,,32:33,,0,19
2024,Texas Longhorns,35.6,499,59,,323,128,180,15,71-185,38.38,19-31,61.29,,317-475,"4,047",8.5,289.1,25,9,28--165,,527,"2,638",5.0,188.4,29,,1030,"6,685",477.5,,31-636,20.5,25-393,15.7,16-210,13.1,,41.5,"41-1,828",29-35,51,,92-731,52,,31:13,,19-9,6
2024,Texas A&M Aggies,32.8,427,50,,288,111,150,27,76-175,43.43,12-20,60.00,,274-426,"3,520",8.3,270.8,24,10,29--192,,456,"1,770",3.9,136.2,23,,911,"5,290",406.9,,22-399,18.1,27-324,12.0,9-37,4.1,,39.0,"42-1,726",26-35,48,,77-591,45,,31:24,,19-5,-2
2024,Texas A&M-Commerce Lions,15.9,159,21,,157,62,76,19,49-146,33.56,7-18,38.89,,,,,,,,,,,,,,,,,,,,32-616,19.3,9-34,3.8,15-343,22.9,,38.9,"63-2,453",5-5,33,,82-757,75,,29:31,,0,22
2024,Texas Southern Tigers,26.7,294,38,,209,108,83,18,51-139,36.69,4-11,36.36,,,,,,,,,,,,,,,,,,,,35-641,18.3,17-223,15.4,5-50,10.0,,34.3,"57-2,064",11-11,13,,95-889,80,,26:49,,0,11
2024,Texas State Bobcats,36.7,477,62,,311,141,149,21,81-184,44.02,21-32,65.63,,287-429,"3,522",8.2,270.9,24,9,30--164,,529,"2,439",4.6,187.6,33,,988,"5,961",458.5,,"39-1,017",26.1,13-100,8.0,11-141,12.8,,38.8,"45-1,836",15-15,22,,95-900,69,,29:10,,21-14,-2
2024,Texas Tech Red Raiders,27.3,355,44,,285,130,135,20,77-194,39.69,24-37,64.87,,284-470,"2,909",6.2,223.8,24,18,24--184,,474,"2,117",4.5,162.8,17,,968,"5,026",386.6,,33-841,25.5,14-261,18.6,13-121,9.3,,41.2,"56-2,548",16-22,62,,70-649,49,,28:45,,11-5,-6
2024,The Citadel Bulldogs,10.0,110,12,,165,78,63,24,52-151,34.44,13-29,44.83,,,,,,,,,,,,,,,,,,,,31-557,18.0,4-0,0.0,6-83,13.8,,42.7,"52-2,221",9-9,23,,61-508,46,,29:29,,0,9
2024,Toledo Rockets,32.3,452,59,,284,117,145,22,79-179,44.13,13-22,59.09,,232-377,"3,089",8.2,220.6,26,10,11--108,,524,"2,778",5.3,198.4,31,,912,"5,867",419.1,,41-868,21.2,20-108,3.9,11-96,8.7,,36.2,"54-2,006",12-15,24,,93-865,61,,27:55,,21-11,-3
2024,Towson Tigers,24.0,264,32,,199,79,104,16,50-142,35.21,14-23,60.87,,,,,,,,,,,,,,,,,,,,43-778,18.1,10-62,6.2,8-67,8.4,,39.9,"49-1,955",15-15,19,,89-779,70,,26:15,,0,18
2024,Troy Trojans,29.6,415,51,,298,107,160,31,78-190,41.05,13-29,44.83,,280-457,"3,724",8.1,266.0,29,6,25--197,,486,"2,148",4.4,153.4,19,,968,"5,872",419.4,,21-413,19.7,17-86,5.1,10-63,6.3,,38.2,"53-2,209",19-24,59,,73-655,46,,30:59,,21-12,5
2024,Tulane Green Wave,26.3,368,44,,257,118,129,10,71-186,38.17,19-32,59.38,,229-368,"3,010",8.2,215.0,25,7,28--159,,527,"2,171",4.1,155.1,16,,923,"5,181",370.1,,27-670,24.8,14-146,10.4,17-138,8.1,,40.6,"49-2,124",21-26,48,,67-600,42,,31:20,,17-13,7
2024,Tulsa Golden Hurricane,23.4,281,33,,238,106,116,16,87-195,44.62,7-16,43.75,,190-334,"2,456",7.4,204.7,20,19,26--182,,527,"2,173",4.1,181.1,13,,887,"4,629",385.8,,15-320,21.3,6-67,11.2,10--1,-0.1,,39.1,"59-2,479",17-20,17,,61-519,43,,29:42,,9-5,-3
2024,UAB Blazers,29.9,359,47,,284,120,143,21,64-159,40.25,13-27,48.15,,306-427,"3,467",8.1,288.9,22,13,32--197,,426,"1,933",4.5,161.1,24,,885,"5,400",450.0,,31-572,18.5,6-60,10.0,10-137,13.7,,38.2,"41-1,755",11-18,21,,80-675,56,,29:14,,13-7,0
2024,UAlbany Great Danes,28.4,426,56,,297,112,159,26,89-204,43.63,12-24,50.00,,,,,,,,,,,,,,,,,,,,28-585,20.9,11-94,8.5,17-225,13.2,,41.3,"63-2,602",13-13,2,,96-907,60,,30:33,,0,28
2024,UC Davis Aggies,25.7,283,35,,232,80,125,27,57-149,38.26,6-16,37.50,,,,,,,,,,,,,,,,,,,,21-461,22.0,23-61,3.1,11-35,3.2,,40.9,"52-2,125",13-13,46,,50-409,37,,31:26,,0,19
2024,UCF Knights,31.2,405,53,,300,147,132,21,83-169,49.11,13-23,56.52,,229-366,"3,364",9.2,258.8,24,11,25--190,,529,"2,967",5.6,228.2,28,,920,"6,331",487.0,,17-370,21.8,17-156,9.2,12-135,11.3,,35.8,"37-1,530",13-21,51,,79-651,50,,28:52,,13-7,-2
2024,UCLA Bruins,26.5,344,46,,278,130,133,15,88-198,44.44,15-32,46.88,,238-410,"2,979",7.3,229.2,24,14,42--259,,527,"2,573",4.9,197.9,21,,979,"5,552",427.1,,21-428,20.4,19-126,6.6,15-108,7.2,,39.5,"48-2,018",8-17,43,,92-755,58,,29:00,,17-8,2
2024,UConn Huskies,19.1,229,29,,216,97,101,18,59-167,35.33,8-21,38.10,,219-381,"2,284",6.0,190.3,12,7,12--93,,395,"1,639",4.1,136.6,15,,788,"3,923",326.9,,33-628,19.0,11-40,3.6,6-45,7.5,,39.3,"61-2,752",10-17,39,,73-645,53,,31:15,,17-10,-4
2024,UL Monroe Warhawks,17.3,208,25,,190,86,87,17,56-173,32.37,9-26,34.62,,177-345,"2,098",6.1,174.8,15,13,35--207,,415,"1,755",4.2,146.3,7,,795,"3,853",321.1,,29-493,17.0,9-96,10.7,11-154,14.0,,38.0,"66-2,693",11-14,55,,71-643,53,,27:02,,14-5,1
2024,UNLV Rebels,34.4,482,58,,284,115,143,26,101-206,49.03,9-20,45.00,,251-404,"3,349",8.3,239.2,17,12,20--119,,538,"2,429",4.5,173.5,39,,962,"5,778",412.7,,"43-1,001",23.3,19-321,16.9,17-110,6.5,,42.1,"51-2,400",26-29,31,,96-865,61,,28:13,,16-7,8
2024,USC Trojans,41.7,542,74,,292,88,182,22,62-143,43.36,11-18,61.11,,314-461,"4,329",9.4,333.0,37,6,33--258,,362,"1,737",4.8,133.6,33,,856,"6,066",466.6,,30-552,18.4,23-380,16.5,7-127,18.1,,40.8,"44-1,906",10-15,33,,95-844,64,,27:38,,23-11,-1
2024,UT Martin Skyhawks,31.6,348,46,,236,100,119,17,69-169,40.83,17-23,73.91,,,,,,,,,,,,,,,,,,,,27-581,21.5,17-91,5.4,8-56,7.0,,46.6,"54-2,516",10-10,65,,73-643,58,,31:11,,0,11
2024,UTEP Miners,19.9,239,30,,220,90,101,29,52-158,32.91,14-31,45.16,,178-330,"2,612",7.9,217.7,13,12,30--193,,447,"1,732",3.9,144.3,16,,807,"4,344",362.0,,13-247,19.0,8-96,12.0,6-86,14.3,,38.3,"52-2,254",10-14,38,,82-706,58,,31:25,,10-6,-6
2024,UTSA Roadrunners,32.1,417,53,,294,133,146,15,92-194,47.42,15-26,57.69,,290-446,"3,248",7.3,249.8,25,14,25--175,,516,"2,233",4.3,171.8,27,,987,"5,481",421.6,,19-319,16.8,17-125,7.4,10-250,25.0,,40.1,"52-2,174",14-17,55,,73-666,51,,30:08,,14-8,-5
2024,Utah Utes,23.2,301,36,,243,131,93,19,81-196,41.33,12-29,41.38,,189-328,"2,156",6.6,165.8,15,11,25--195,,562,"2,373",4.2,182.5,19,,915,"4,529",348.4,,21-425,20.2,24-111,4.6,8-82,10.3,,39.0,"56-2,503",16-20,37,,65-541,41,,34:04,,13-2,2
2024,Utah State Aggies,33.2,431,56,,282,122,132,28,67-186,36.02,18-32,56.25,,269-436,"3,305",7.6,254.2,35,19,44--240,,496,"2,397",4.8,184.4,18,,976,"5,702",438.6,,19-375,19.7,28-259,9.3,10-263,26.3,,36.9,"64-2,728",13-17,43,,97-921,70,,26:51,,9-6,-5
